187		עזב	<ZB	<ZB[	leave
188		אָב	>@B	>B/	father
189		אֵם	>;M	>M/	mother
190		דבק	DBQ	DBQ[	cling, cleave to
191		עָרֹום	<@ROWM	<RWM/	naked
192		בושׁ	BWC	BWC[	be ashamed
193		נָחָשׁ	N@X@C	NXC/	serpent
194		עָרוּם	<@RW.M	<RWM=/	shrewd
195		אַף	>AP	>P	even
196		נגע	NG<	NG<[	touch
197		פֶּן	P.EN	PN	lest
198		ידע	JD<	JD<[	know
199		פקח	PQX	PQX[	open
200		עַיִן	<AJIN	<JN/	eye
201		תַּאֲוָה	T.A>:AW@H	T>WH/	desire
202		שׂכל	FKL	FKL[	prosper
203		גַּם	G.AM	GM	even
204		עִם	<IM	<M	with
205		עֵירֹם	<;JROM	<JRM/	naked
206		הֵם	H;M	HM	they
207		תפר	TPR	TPR[	sew
208		עָלֶה	<@LEH	<LH=/	leafage
209		תְּאֵנָה	T.:>;N@H	T>NH/	fig
210		חֲגֹורָה	X:AGOWR@H	XGWRH/	girdle
211		שׁמע	CM<	CM<[	hear
212		קֹול	QOWL	QWL/	sound
213		חבא	XB>	XB>[	hide
214		אֵי	>;J	>J	where
215		ירא	JR>	JR>[	fear
216		אָנֹכִי	>@NOKIJ	>NKJ	i
217		מִי	MIJ	MJ	who
218		נגד	NGD	NGD[	report
219		אַתָּה	>AT.@H	>TH	you
220		הֲ	H:A	H=	[interrogative]
221		בֵּלֶת	B.;LET	BLT/	failure
222		עִמָּד	<IM.@D	<MD/	company
223		נשׁא	NC>	NC>=[	beguile
224		ארר	>RR	>RR[	curse
225		גָּחֹון	G.@XOWN	GXWN/	belly
226		אֵיבָה	>;JB@H	>JBH/	enmity
227		שׁית	CJT	CJT[	put
228		שׁוף	CWP	CWP[	bruise
229		שׁוף	CWP	CWP=[	snatch
230		עָקֵב	<@Q;B	<QB=/	heel
231		עִצָּבֹון	<IY.@BOWN	<YBWN/	pain
232		הֵרֹון	H;ROWN	HRWN/	pregnancy
233		עֶצֶב	<EYEB	<YB=/	pain
234		ילד	JLD	JLD[	bear
235		בֵּן	B.;N	BN/	son
236		תְּשׁוּקָה	T.:CW.Q@H	TCWQH/	impulse
237		עֲבוּר	<:ABW.R	<BWR/	way
238		קֹוץ	QOWY	QWY/	thorn-bush
239		דַּרְדַּר	D.AR:D.AR	DRDR/	thistles
240		זֵעָה	Z;<@H	Z<H/	sweat
241		לֶחֶם	LEXEM	LXM/	bread
242		עַד	<AD	<D	unto
243		שׁוב	CWB	CWB[	return
244		חַוָּה	XAW.@H	XWH=/	Eve
245		כֻּתֹּנֶת	K.UT.ONET	KTNT/	tunic
246		עֹור	<OWR	<WR=/	skin
247		לבשׁ	LBC	LBC[	cloth
248		הֵן	H;N	HN	behold
249		עַתָּה	<AT.@H	<TH	now
250		שׁלח	CLX	CLX[	send
251		יָד	J@D	JD/	hand
252		חיה	XJH	XJH[	be alive
253		עֹולָם	<OWL@M	<WLM/	eternity
254		גרשׁ	GRC	GRC[	drive out
255		שׁכן	CKN	CKN[	dwell
256		כְּרוּב	K.:RW.B	KRWB/	cherub
257		לַהַט	LAHAV	LHV/	flame
258		חֶרֶב	XEREB	XRB/	dagger
259		הפך	HPK	HPK[	turn
260		דֶּרֶךְ	D.EREK:	DRK/	way
261		הרה	HRH	HRH[	be pregnant
262		קַיִן	QAJIN	QJN=/	Kain
263		קנה	QNH	QNH=[	create
264		אֵת	>;T	>T==	together with
265		יסף	JSP	JSP[	add
266		אָח	>@X	>X/	brother
267		הֶבֶל	HEBEL	HBL=/	Abel
268		רעה	R<H	R<H[	pasture
269		צֹאן	YO>N	Y>N/	cattle
270		קֵץ	Q;Y	QY/	end
271		מִנְחָה	MIN:X@H	MNXH/	present
272		בְּכֹר	B.:KOR	BKR/	first-born
273		חֵלֶב	X;LEB	XLB=/	fat
274		שׁעה	C<H	C<H[	look
275		חרה	XRH	XRH[	be hot
276		לָמָה	L@M@H	LMH	why
277		אִם	>IM	>M	if
278		יטב	JVB	JVB[	be good
279		שְׂאֵת	F:>;T	F>T/	uprising
280		פֶּתַח	P.ETAX	PTX/	opening
281		חַטָּאת	XAV.@>T	XV>T/	sin
282		רבץ	RBY	RBY[	lie down
283		קום	QWM	QWM[	arise
284		הרג	HRG	HRG[	kill
285		דָּם	D.@M	DM/	blood
286		צעק	Y<Q	Y<Q[	cry
287		פצה	PYH	PYH[	open
288		פֶּה	P.EH	PH/	mouth
289		כֹּחַ	K.OXA	KX/	strength
290		נוע	NW<	NW<[	quiver
291		נוד	NWD	NWD[	waver
292		עָוֹן	<@WON	<WN/	sin
293		נשׂא	NF>	NF>[	lift
294		סתר	STR	STR[	hide
295		לָכֵן	L@K;N	LKN	therefore
296		שֶׁבַע	CEBA<	CB</	seven
297		נקם	NQM	NQM[	avenge
298		נכה	NKH	NKH[	strike
299		ישׁב	JCB	JCB[	sit
300		נֹוד	NOWD	NWD/	Nod
301		חֲנֹוךְ	X:ANOWK:	XNWK/	Henoch
302		עִיר	<IJR	<JR/	town
303		חֲנֹוךְ	X:ANOWK:	XNWK=/	Enoch
304		עִירָד	<IJR@D	<JRD/	Irad
305		מְחוּיָאֵל	M:XW.J@>;L	MXWJ>L/	Mehujael
306		מְחִיּיָאֵל	M:XIJ.J@>;L	MXJJ>L/	Mehujael
307		מְתוּשָׁאֵל	M:TW.C@>;L	MTWC>L/	Methushael
308		לֶמֶךְ	LEMEK:	LMK/	Lamech
309		עָדָה	<@D@H	<DH===/	Adah
310		צִלָּה	YIL.@H	YLH/	Zillah
311		יָבָל	J@B@L	JBL=/	Jabal
312		אֹהֶל	>OHEL	>HL/	tent
313		מִקְנֶה	MIQ:NEH	MQNH/	purchase
314		יוּבָל	JW.B@L	JWBL==/	Jubal
315		תפשׂ	TPF	TPF[	seize
316		כִּנֹּור	K.IN.OWR	KNWR/	cither
317		עוּגָב	<W.G@B	<WGB/	flute
318		תּוּבַל קַיִן	T.W.BAL_QAJIN	TWBL_QJN/	Tubal-Cain
319		לטשׁ	LVC	LVC[	sharpen
320		חרשׁ	XRC	XRC=[	plough
321		נְחֹשֶׁת	N:XOCET	NXCT/	bronze
322		בַּרְזֶל	B.AR:ZEL	BRZL/	iron
323		אָחֹות	>@XOWT	>XWT/	sister
324		נַעֲמָה	NA<:AM@H	N<MH/	Naamah
325		אזן	>ZN	>ZN[	listen
326		אִמְרָה	>IM:R@H	>MRH/	word
327		פֶּצַע	P.EYA<	PY</	bruise
328		יֶלֶד	JELED	JLD/	boy
329		חַבּוּרָה	XAB.W.R@H	XBWRH/	bruise
330		אָדָם	>@D@M	>DM===/	Adam
331		עֹוד	<OWD	<WD/	duration
332		שֵׁת	C;T	CT==/	Seth
333		אַחֵר	>AX;R	>XR=/	other
334		אֱנֹושׁ	>:ENOWC	>NWC==/	Enosh
335		אָז	>@Z	>Z	then
336		חלל	XLL	XLL[	defile
337		זֶה	ZEH	ZH	this
338		סֵפֶר	S;PER	SPR/	letter
339		שָׁלֹשׁ	C@LOC	CLC/	three
340		מֵאָה	M;>@H	M>H/	hundred
341		אַחַר	>AXAR	>XR/	after
342		שְׁמֹנֶה	C:MONEH	CMNH/	eight
343		בַּת	B.AT	BT/	daughter
344		תֵּשַׁע	T.;CA<	TC</	nine
345		חָמֵשׁ	X@M;C	XMC/	five
346		עֶשְׂרֵה	<EF:R;H	<FRH/	-teen
