115550	תֹּקְעֵ֖י	『L71292』	『4c.subs.qal.ptca.u.m.pl.c』
115659	הָלֹ֖וךְ	『L70159』	『4c.verb.qal.infa.u.u.u.a』
116601	וָ	『L70008』	『4c.conj』
116602	אֵ֣רֶא	『L70022』	『4c.verb.qal.wayq.p1.u.sg』
117078	בֵּינָ֥יו	『L70026』	『4c.prep.m.pl.a.prs.p3.m.sg』
117201	בָּ	『L70001』	『4c.prep』
117202		『L70006』	『4c.art』
117203	עַ֔י	『L70625』	『4c.nmpr.u.sg.a』
117878	וַ	『L70008』	『4c.conj』
117879	יֹּ֥אמֶר	『L70020』	『4c.verb.qal.wayq.p3.m.sg』
117892	אֶֽכְרָת	『L70466』	『4c.verb.qal.impf.p1.u.sg』
121455	וְ	『L70008』	『4c.conj』
121456	הָי֛וּ	『L70010』	『4c.verb.qal.perf.p3.u.pl』
122032	הַ	『L70006』	『4c.art』
122033	גָּדֹ֖ול	『L70064』	『4c.adjv.m.sg.a』
122073	וְ	『L70008』	『4c.conj』
122074	יָנ֥וּם	『L73722』	『4c.nmpr.u.sg.a』
122161	יָכְל֥וּ	『L70650』	『4c.verb.qal.perf.p3.u.pl』
122231	תֹצְאֹתָ֖יו	『L73162』	『4c.subs.f.pl.a.prs.p3.m.sg』
123138	וְ	『L70008』	『4c.conj』
123139	הָיוּ֙	『L70010』	『4c.verb.qal.perf.p3.u.pl』
123188	וְ	『L70008』	『4c.conj』
123189	הָי֣וּ	『L70010』	『4c.verb.qal.perf.p3.u.pl』
123288	וְ	『L70008』	『4c.conj』
123289	הָי֣וּ	『L70010』	『4c.verb.qal.perf.p3.u.pl』
123290	תֹּצְאֹ֣ות	『L73162』	『4c.subs.f.pl.c』
123356	הָֽ	『L70006』	『4c.art』
123357	עַמֹּנָ֛ה	『L73770』	『4c.nmpr.u.sg.a』
123685	וְ	『L70008』	『4c.conj』
123686	שַׁחֲצִ֨ימָה֙	『L73815』	『4c.nmpr.u.sg.a』
123799	וְ	『L70008』	『4c.conj』
123800	הָי֧וּ	『L70010』	『4c.verb.qal.perf.p3.u.pl』
124347	גֹּולָ֥ן	『L73251』	『4c.nmpr.u.sg.a』
124906	גֹּולָ֤ן	『L73251』	『4c.nmpr.u.sg.a』
125395	בְּ	『L70001』	『4c.prep』
125396	עֵ֥בֶר	『L71810』	『4c.subs.m.sg.c』
126707	וָ	『L70008』	『4c.conj』
126708	אַרְבֶּה֙	『L70083』	『4c.verb.hif.wayq.p1.u.sg』
126818	וָ	『L70008』	『4c.conj』
126819	אָבִ֣יא	『L70172』	『4c.verb.hif.wayq.p1.u.sg』
127024	מֵ	『L70038』	『4c.prep』
127025	עֵ֣בֶר	『L71810』	『4c.subs.m.sg.c』
128003	יֹשְׁבֵ֨י	『L70299』	『4c.subs.qal.ptca.u.m.pl.c』
129625	בְּ	『L70001』	『4c.prep』
129626	צַעֲנַנִּ֖ים	『L73832』	『4c.nmpr.u.sg.a』
130510	וּ	『L70008』	『4c.conj』
130511	בָ֤אוּ	『L70172』	『4c.verb.qal.perf.p3.u.pl』
131762	צְלִ֜יל	『L73996』	『4c.subs.m.sg.c』
132004	וַ	『L70008』	『4c.conj』
132005	יָּנֽוּסוּ	『L70705』	『4c.verb.qal.wayq.p3.m.pl』
133053	מָלְכָ֥ה	『L71447』	『4c.verb.qal.impv.p2.m.sg』
133118	מָלְכִ֥י	『L71447』	『4c.verb.qal.impv.p2.f.sg』
135314	וְ	『L70008』	『4c.conj』
135315	רֵעֹותָֽי	『L74045』	『4c.subs.f.pl.a』
